"year","age_group_det","group_abbr","n","rate"
2018,"55-64","HF",8,10.6
2018,"55-64","ARR",15,19.9
2018,"55-64","CMP",3,4
2018,"55-64","INF",8,10.6
2018,"65-74","IHD",203,458.4
2018,"65-74","HF",8,18.1
2018,"65-74","ARR",17,38.4
2018,"65-74","CMP",11,24.8
2018,"65-74","INF",9,20.3
2018,"75+","IHD",255,822.6
2018,"75+","HF",25,80.6
2018,"75+","ARR",41,132.3
2018,"75+","CMP",16,51.6
2018,"75+","INF",8,25.8
2019,"0-4","HF",1,1.6
2019,"0-4","CMP",3,4.7
2019,"0-4","INF",1,1.6
2019,"25-34","IHD",8,5.4
2019,"25-34","HF",1,0.7
2019,"25-34","INF",3,2
2019,"35-44","IHD",23,17.5
2019,"35-44","HF",2,1.5
2019,"35-44","ARR",1,0.8
2019,"35-44","CMP",2,1.5
2019,"35-44","INF",4,3
2019,"45-54","IHD",80,76.8
2019,"45-54","HF",1,1
2019,"45-54","ARR",2,1.9
2019,"45-54","CMP",7,6.7
2019,"45-54","INF",2,1.9
2019,"55-64","IHD",162,210.3
2019,"55-64","HF",6,7.8
2019,"55-64","ARR",11,14.3
2019,"55-64","CMP",12,15.6
2019,"55-64","INF",8,10.4
2019,"65-74","IHD",208,459.1
2019,"65-74","HF",8,17.7
2019,"65-74","ARR",16,35.3
2019,"65-74","CMP",8,17.7
2019,"65-74","INF",9,19.9
2019,"75+","IHD",307,968.1
2019,"75+","HF",24,75.7
2019,"75+","ARR",37,116.7
2019,"75+","CMP",18,56.8
2019,"75+","INF",7,22.1
2020,"0-4","INF",1,1.6
2020,"15-24","IHD",1,0.6
2020,"15-24","ARR",2,1.2
2020,"15-24","CMP",1,0.6
2020,"25-34","IHD",14,9.3
2020,"25-34","HF",3,2
2020,"25-34","CMP",5,3.3
2020,"35-44","IHD",48,36.1
2020,"35-44","HF",2,1.5
2020,"35-44","ARR",2,1.5
2020,"35-44","CMP",5,3.8
2020,"35-44","INF",7,5.3
2020,"45-54","IHD",88,83.5
2020,"45-54","HF",3,2.8
2020,"45-54","ARR",3,2.8
2020,"45-54","CMP",3,2.8
2020,"45-54","INF",4,3.8
2020,"5-14","CMP",1,0.7
2020,"55-64","IHD",167,214.5
2020,"55-64","HF",7,9
2020,"55-64","ARR",12,15.4
2020,"55-64","CMP",18,23.1
2020,"55-64","INF",10,12.8
2020,"65-74","IHD",242,528.4
2020,"65-74","HF",6,13.1
2020,"65-74","ARR",14,30.6
2020,"65-74","CMP",9,19.7
2020,"65-74","INF",3,6.6
2020,"75+","IHD",281,876.5
2020,"75+","HF",25,78
2020,"75+","ARR",48,149.7
2020,"75+","CMP",21,65.5
2020,"75+","INF",5,15.6
2021,"0-4","HF",2,3.2
2021,"0-4","CMP",1,1.6
2021,"15-24","CMP",4,2.5
2021,"15-24","INF",2,1.2
2021,"25-34","IHD",9,6
2021,"25-34","ARR",2,1.3
2021,"25-34","CMP",2,1.3
2021,"25-34","INF",1,0.7
2021,"35-44","IHD",38,28.9
2021,"35-44","HF",3,2.3
2021,"35-44","ARR",3,2.3
2021,"35-44","CMP",2,1.5
2021,"35-44","INF",2,1.5
2021,"45-54","IHD",89,85.4
2021,"45-54","HF",12,11.5
2021,"45-54","ARR",2,1.9
2021,"45-54","CMP",5,4.8
2021,"45-54","INF",8,7.7
2021,"55-64","IHD",212,275.2
2021,"55-64","HF",4,5.2
2021,"55-64","ARR",11,14.3
2021,"55-64","CMP",5,6.5
2021,"55-64","INF",8,10.4
2021,"65-74","IHD",254,560.5
2021,"65-74","HF",12,26.5
2021,"65-74","ARR",15,33.1
2021,"65-74","CMP",10,22.1
2021,"65-74","INF",6,13.2
2021,"75+","IHD",350,1103.3
2021,"75+","HF",24,75.7
2021,"75+","ARR",56,176.5
2021,"75+","CMP",24,75.7
2021,"75+","INF",10,31.5
2022,"0-4","HF",1,1.6
2022,"0-4","INF",2,3.2
2022,"15-24","IHD",1,0.6
2022,"15-24","CMP",1,0.6
2022,"25-34","IHD",10,6.7
2022,"25-34","HF",2,1.3
2022,"25-34","INF",2,1.3
2022,"35-44","IHD",32,24.6
2022,"35-44","HF",1,0.8
2022,"35-44","CMP",1,0.8
2022,"35-44","INF",1,0.8
2022,"45-54","IHD",101,97.8
2022,"45-54","HF",8,7.7
2022,"45-54","ARR",4,3.9
2022,"45-54","CMP",2,1.9
2022,"45-54","INF",7,6.8
2022,"5-14","CMP",1,0.7
2022,"5-14","INF",1,0.7
2022,"55-64","IHD",188,246.3
2022,"55-64","HF",9,11.8
2022,"55-64","ARR",13,17
2022,"55-64","CMP",6,7.9
2022,"55-64","INF",12,15.7
2022,"65-74","IHD",243,541.1
2022,"65-74","HF",19,42.3
2022,"65-74","ARR",24,53.4
2022,"65-74","CMP",6,13.4
2022,"65-74","INF",13,29
2022,"75+","IHD",368,1170.7
2022,"75+","HF",26,82.7
2022,"75+","ARR",66,210
2022,"75+","CMP",16,50.9
2022,"75+","INF",6,19.1
